,code,concatsize,organic?,concatprod,RRP?,brand,j,price,,,#VALUE!,case size,unit size,unit,VAT code
1,6016,6x500g,organic,Ground Almonds,9.15,Infinity,,41.15,,0,5028869060169,6,500,g,0
1,6017,12x125g,organic,Blanched Almonds,2.79,Infinity,,25.00,,0,5028869060176,12,125,g,0
1,6018,12x250g,organic,Blanched Almonds,5.05,Infinity,,45.40,,0,5028869060183,12,250,g,0
1,6020,12x250g,organic,Almonds,4.51,Infinity,,40.60,,0,5028869060206,12,250,g,0
1,6025,6x500g,organic,Almonds,8.68,Infinity,,39.05,,0,5028869060251,6,500,g,0
1,6026,6x1kg,organic,Almonds,16.68,Infinity,,75.05,,0,5028869060268,6,1,kg,0
1,6031,12x125g,organic,Brazil Nuts ,2.24,Infinity,,20.15,,0,5028869060312,12,125,g,0
1,6032,12x250g,organic,Brazil Nuts ,3.97,Infinity,,35.70,,0,5028869060329,12,250,g,0
1,6033,6x500g,organic,Brazil Nuts ,7.59,Infinity,,34.15,,0,5028869060336,6,500,g,0
1,6034,6x1kg,organic,Brazil Nuts ,14.51,Infinity,,65.30,,0,5028869060343,6,1,kg,0
1,6035,6x250g,organic,Coconut Desiccated ,1.78,Infinity,,8.00,,0,5028869060350,6,250,g,0
1,6037,6x250g,organic,Coconut Chips,1.89,Infinity,,8.50,,0,5028869060374,6,250,g,0
1,6039,6x250g,organic,Toasted Coconut Chips,2.19,Infinity,,9.85,,0,5028869060398,6,250,g,0
1,6040,6x500g,organic,Coconut Desiccated ,2.88,Infinity,,12.95,,0,5028869060404,6,500,g,0
1,6041,12x125g,organic,Cashews Whole,2.97,Infinity,,26.75,,0,5028869060411,12,125,g,0
1,6042,12x250g,organic,Cashews Whole,5.44,Infinity,,48.95,,0,5028869060428,12,250,g,0
1,6043,6x500g,organic,Cashews Whole,10.53,Infinity,,47.40,,0,5028869060435,6,500,g,0
1,6044,12x125g,organic,Cashews & Raisins,1.95,Infinity,,17.50,,0,5028869060442,12,125,g,0
1,6045,12x125g,organic,Hazelnuts,2.45,Infinity,,22.05,,0,5028869060459,12,125,g,0
1,6046,12x250g,organic,Cashews & Raisins,3.39,Infinity,,30.40,,0,5028869060466,12,250,g,0
1,6047,12x250g,organic,Fruit & Nut Mix,3.19,Infinity,,28.60,,0,5028869060473,12,250,g,0
1,6048,12x250g,organic,Goji Berry Hi Energy Trail Mix,2.39,Infinity,,21.50,,0,5028869060480,12,250,g,0
1,6049,12x125g,organic,Goji Berry Hi Energy Trail Mix,1.45,Infinity,,13.05,,0,5028869060497,12,125,g,0
1,6050,12x250g,organic,Hazelnuts,4.38,Infinity,,39.45,,0,5028869060503,12,250,g,0
1,6051,6x1kg,organic,Cashews Whole,20.39,Infinity,,91.75,,0,5028869060510,6,1,kg,0
1,6052,6x250g,organic,Chia Seeds,2.09,Infinity,,9.40,,0,5028869060527,6,250,g,0
1,6053,6x500g,organic,Chia Seeds,3.49,Infinity,,15.70,,0,5028869060534,6,500,g,0
1,6055,6x500g,organic,Hazelnuts,8.42,Infinity,,37.90,,0,5028869060558,6,500,g,0
1,6056,12x125g,organic,Roast Whole Hazelnuts,3.60,Infinity,,27.00,V,5.4,5028869060565,12,125,g,2
1,6058,6x250g,organic,Hemp Seeds,1.83,Infinity,,8.25,,0,5028869060589,6,250,g,0
1,6062,12x125g,organic,Cashews Large Pieces,2.57,Infinity,,23.10,,0,5028869060626,12,125,g,0
1,6063,12x250g,organic,Cashews Large Pieces,4.62,Infinity,,41.55,,0,5028869060633,12,250,g,0
1,6064,6x500g,organic,Cashews Large Pieces,8.90,Infinity,,40.05,,0,5028869060640,6,500,g,0
1,6070,12x250g,organic,Linseed Brown,1.09,Infinity,,9.85,,0,5028869060701,12,250,g,0
1,6073,12x125g,organic,Macadamia Nuts - large whole,4.25,Infinity,,38.15,,0,5028869060732,12,125,g,0
